Âge,Années d'expérience,Revenu annuel (DH),Sexe,Niveau d'éducation,État matrimonial,Urbain/Rural,Catégorie socioprofessionnelle,Possession de biens,Région,Type de contrat,Langue maternelle
57.0,37.0,13948.0,Homme,sans niveau,marié,Rural,Groupe 5,Aucun,L’Oriental,CDI,arab
30.0,28.0,31292.0,Homme,secondaire,marié,Rural,Groupe 2,Voiture,L’Oriental,sans contrat,amazigh
62.0,26.0,48615.0,Homme,fondamental,marié,Urbain,Groupe 1,Aucun,Laâyoune-Sakia El Hamra,sans contrat,arab
34.0,18.0,9846.0,Femme,fondamental,marié,Urbain,Groupe 6,Logement,Guelmim-Oued Noun,CDI,arab
66.0,20.0,8560.0,Homme,secondaire,marié,Rural,Groupe 6,Logement,Casablanca-Settat,CDI,arab
54.0,33.0,9723.0,Homme,sans niveau,marié,Rural,Groupe 6,Terrain,Laâyoune-Sakia El Hamra,CDD,arab
23.0,12.0,8860.0,Homme,secondaire,marié,Rural,Groupe 5,Terrain,Fès-Meknès,CDI,arab
36.0,4.0,15861.0,Femme,fondamental,marié,Urbain,Groupe 3,Voiture,Souss-Massa,sans contrat,amazigh
30.0,49.0,14948.0,Homme,fondamental,célibataire,Rural,Groupe 5,Aucun,Drâa-Tafilalet,CDI,amazigh
43.0,5.0,17416.0,Homme,sans niveau,marié,Urbain,Groupe 4,Voiture,Dakhla-Oued Ed-Dahab,CDD,arab
31.0,31.0,11342.0,Femme,fondamental,marié,Urbain,Groupe 6,Terrain,Guelmim-Oued Noun,CDD,arab
48.0,28.0,18289.0,Homme,fondamental,marié,Urbain,Groupe 5,Logement,Dakhla-Oued Ed-Dahab,CDI,arab
21.0,41.0,12825.0,Femme,fondamental,marié,Rural,Groupe 5,Aucun,Dakhla-Oued Ed-Dahab,CDD,arab
56.0,10.0,16940.0,Femme,sans niveau,veuf,Urbain,Groupe 4,Logement,Dakhla-Oued Ed-Dahab,sans contrat,arab
25.0,32.0,17009.0,Femme,sans niveau,veuf,Urbain,Groupe 5,Terrain,Rabat-Salé-Kénitra,CDD,arab
42.0,26.0,19469.0,Femme,fondamental,marié,Urbain,Groupe 4,Voiture,Rabat-Salé-Kénitra,CDI,arab
30.0,6.0,6905.0,Femme,fondamental,marié,Urbain,Groupe 6,Aucun,Laâyoune-Sakia El Hamra,CDI,arab
49.0,22.0,39325.0,Homme,fondamental,marié,Urbain,Groupe 2,Logement,Laâyoune-Sakia El Hamra,CDI,arab
55.0,24.0,11523.0,Homme,fondamental,marié,Rural,Groupe 5,Logement,Fès-Meknès,sans contrat,arab
55.0,6.0,42398.0,Femme,sans niveau,marié,Urbain,Groupe 1,Logement,Drâa-Tafilalet,CDI,arab
45.0,27.0,26649.0,Homme,sans niveau,célibataire,Rural,Groupe 2,Logement,Casablanca-Settat,CDD,arab
47.0,39.0,22704.0,Homme,fondamental,divorcé,Urbain,Groupe 4,Terrain,Rabat-Salé-Kénitra,CDI,arab
20.0,21.0,9732.0,Femme,fondamental,célibataire,Rural,Groupe 4,Aucun,Drâa-Tafilalet,sans contrat,arab
45.0,16.0,13512.0,Femme,fondamental,marié,Urbain,Groupe 5,Terrain,L’Oriental,CDD,amazigh
20.0,44.0,65180.0,Homme,secondaire,marié,Urbain,Groupe 1,Aucun,Rabat-Salé-Kénitra,sans contrat,arab
62.0,33.0,24067.0,Homme,secondaire,célibataire,Urbain,Groupe 5,Voiture,Guelmim-Oued Noun,CDD,arab
51.0,21.0,6954.0,Femme,sans niveau,célibataire,Rural,Groupe 6,Aucun,Souss-Massa,CDD,arab
33.0,9.0,25607.0,Homme,fondamental,divorcé,Urbain,Groupe 2,Terrain,Dakhla-Oued Ed-Dahab,sans contrat,arab
39.0,1.0,10139.0,Femme,fondamental,marié,Urbain,Groupe 5,Logement,Marrakech-Safi,CDD,arab
49.0,11.0,8621.0,Femme,fondamental,célibataire,Urbain,Groupe 6,Aucun,Guelmim-Oued Noun,sans contrat,arab
55.0,5.0,18838.0,Femme,supérieur,marié,Urbain,Groupe 5,Terrain,Rabat-Salé-Kénitra,sans contrat,arab
25.0,17.0,31968.0,Homme,fondamental,célibataire,Urbain,Groupe 2,Terrain,Marrakech-Safi,CDD,arab
25.0,3.0,41810.0,Femme,secondaire,marié,Urbain,Groupe 1,Voiture,Drâa-Tafilalet,CDD,arab
23.0,41.0,38503.0,Femme,supérieur,marié,Rural,Groupe 2,Logement,Casablanca-Settat,CDD,arab
31.0,37.0,30272.0,Femme,sans niveau,veuf,Urbain,Groupe 3,Logement,Casablanca-Settat,CDD,arab
49.0,22.0,25494.0,Femme,sans niveau,marié,Urbain,Groupe 3,Voiture,L’Oriental,CDD,arab
52.0,40.0,23555.0,Femme,sans niveau,marié,Urbain,Groupe 4,Terrain,Tanger-Tétouan-Al Hoceïma,sans contrat,arab
27.0,17.0,17416.0,Homme,sans niveau,marié,Urbain,Groupe 5,Aucun,L’Oriental,CDI,arab
20.0,33.0,42028.0,Homme,sans niveau,divorcé,Urbain,Groupe 2,Terrain,Laâyoune-Sakia El Hamra,CDD,amazigh
29.0,13.0,10624.0,Homme,supérieur,marié,Rural,Groupe 5,Terrain,Laâyoune-Sakia El Hamra,sans contrat,arab
66.0,49.0,20748.0,Femme,supérieur,célibataire,Rural,Groupe 5,Voiture,Laâyoune-Sakia El Hamra,CDD,arab
48.0,18.0,12125.0,Homme,secondaire,célibataire,Rural,Groupe 4,Aucun,Béni Mellal-Khénifra,CDI,arab
46.0,41.0,18688.0,Femme,secondaire,marié,Rural,Groupe 4,Logement,Casablanca-Settat,CDI,arab
22.0,43.0,22425.0,Homme,sans niveau,marié,Urbain,Groupe 5,Voiture,Marrakech-Safi,CDD,amazigh
69.0,4.0,8018.0,Homme,fondamental,célibataire,Urbain,Groupe 6,Aucun,Dakhla-Oued Ed-Dahab,CDD,arab
42.0,3.0,6945.0,Femme,sans niveau,célibataire,Rural,Groupe 4,Logement,Dakhla-Oued Ed-Dahab,CDI,arab
58.0,14.0,23620.0,Homme,fondamental,marié,Urbain,Groupe 3,Voiture,Fès-Meknès,CDD,arab
48.0,40.0,16261.0,Homme,sans niveau,marié,Rural,Groupe 4,Aucun,Guelmim-Oued Noun,CDI,amazigh
38.0,23.0,11015.0,Homme,fondamental,veuf,Rural,Groupe 4,Aucun,Tanger-Tétouan-Al Hoceïma,CDI,amazigh
37.0,13.0,13281.0,Femme,sans niveau,marié,Urbain,Groupe 5,Terrain,Rabat-Salé-Kénitra,sans contrat,arab
56.0,40.0,30694.0,Homme,sans niveau,célibataire,Urbain,Groupe 4,Voiture,Dakhla-Oued Ed-Dahab,CDI,arab
39.0,33.0,8958.0,Femme,fondamental,marié,Rural,Groupe 6,Logement,Drâa-Tafilalet,sans contrat,arab
21.0,36.0,16938.0,Femme,fondamental,célibataire,Urbain,Groupe 5,Terrain,Drâa-Tafilalet,sans contrat,arab
30.0,40.0,20612.0,Femme,sans niveau,marié,Urbain,Groupe 5,Voiture,L’Oriental,sans contrat,arab
62.0,29.0,42967.0,Homme,sans niveau,marié,Urbain,Groupe 2,Terrain,Rabat-Salé-Kénitra,CDD,arab
59.0,1.0,11160.0,Homme,supérieur,marié,Rural,Groupe 4,Terrain,Laâyoune-Sakia El Hamra,CDI,arab
67.0,10.0,9016.0,Femme,sans niveau,célibataire,Urbain,Groupe 6,Aucun,Marrakech-Safi,CDD,arab
66.0,11.0,14931.0,Femme,secondaire,célibataire,Urbain,Groupe 5,Aucun,Marrakech-Safi,CDI,arab
37.0,33.0,47216.0,Homme,sans niveau,marié,Urbain,Groupe 2,Voiture,Drâa-Tafilalet,CDI,arab
69.0,6.0,7834.0,Homme,fondamental,célibataire,Rural,Groupe 4,Logement,Rabat-Salé-Kénitra,sans contrat,amazigh
30.0,2.0,20662.0,Homme,fondamental,marié,Urbain,Groupe 2,Aucun,Tanger-Tétouan-Al Hoceïma,CDD,amazigh
34.0,49.0,13048.0,Homme,secondaire,marié,Rural,Groupe 6,Logement,Drâa-Tafilalet,CDD,arab
53.0,3.0,12143.0,Femme,fondamental,marié,Urbain,Groupe 4,Aucun,Souss-Massa,CDI,arab
50.0,19.0,9785.0,Homme,sans niveau,marié,Rural,Groupe 5,Aucun,Laâyoune-Sakia El Hamra,sans contrat,arab
18.0,49.0,47371.0,Femme,secondaire,célibataire,Rural,Groupe 1,Aucun,Fès-Meknès,CDI,arab
32.0,36.0,21384.0,Femme,fondamental,célibataire,Urbain,Groupe 4,Voiture,Casablanca-Settat,CDD,arab
30.0,45.0,15550.0,Homme,secondaire,marié,Rural,Groupe 5,Aucun,Dakhla-Oued Ed-Dahab,CDI,arab
34.0,46.0,53857.0,Homme,secondaire,marié,Urbain,Groupe 2,Terrain,Dakhla-Oued Ed-Dahab,CDD,amazigh
41.0,16.0,43511.0,Homme,fondamental,marié,Urbain,Groupe 1,Terrain,Dakhla-Oued Ed-Dahab,sans contrat,arab
25.0,33.0,11335.0,Homme,supérieur,célibataire,Rural,Groupe 6,Logement,L’Oriental,sans contrat,arab
67.0,26.0,42343.0,Homme,fondamental,marié,Urbain,Groupe 2,Voiture,Dakhla-Oued Ed-Dahab,CDI,amazigh
44.0,0.0,16458.0,Homme,secondaire,marié,Urbain,Groupe 4,Terrain,Marrakech-Safi,CDI,arab
62.0,11.0,6397.0,Homme,secondaire,marié,Rural,Groupe 6,Aucun,Laâyoune-Sakia El Hamra,CDI,arab
40.0,26.0,47023.0,Femme,fondamental,marié,Urbain,Groupe 1,Terrain,Marrakech-Safi,CDI,arab
63.0,44.0,11476.0,Femme,fondamental,marié,Rural,Groupe 6,Voiture,Fès-Meknès,sans contrat,arab
25.0,47.0,39669.0,Homme,secondaire,marié,Rural,Groupe 2,Logement,Drâa-Tafilalet,sans contrat,arab
25.0,32.0,7776.0,Femme,fondamental,marié,Rural,Groupe 6,Aucun,Béni Mellal-Khénifra,CDI,arab
43.0,24.0,18169.0,Femme,fondamental,divorcé,Urbain,Groupe 4,Logement,Fès-Meknès,CDD,arab
64.0,31.0,26142.0,Homme,fondamental,marié,Rural,Groupe 2,Terrain,Béni Mellal-Khénifra,CDD,arab
30.0,44.0,23616.0,Femme,sans niveau,marié,Urbain,Groupe 4,Logement,Fès-Meknès,CDD,arab
56.0,37.0,13907.0,Homme,sans niveau,marié,Rural,Groupe 5,Aucun,Tanger-Tétouan-Al Hoceïma,CDI,arab
54.0,48.0,16196.0,Homme,sans niveau,marié,Rural,Groupe 5,Aucun,Tanger-Tétouan-Al Hoceïma,CDI,amazigh
66.0,33.0,19011.0,Femme,fondamental,marié,Urbain,Groupe 5,Voiture,Tanger-Tétouan-Al Hoceïma,CDI,arab
45.0,7.0,11494.0,Homme,secondaire,marié,Urbain,Groupe 6,Terrain,L’Oriental,CDD,arab
42.0,30.0,16940.0,Homme,fondamental,marié,Rural,Groupe 3,Terrain,Tanger-Tétouan-Al Hoceïma,CDI,arab
33.0,30.0,23310.0,Homme,supérieur,célibataire,Urbain,Groupe 5,Terrain,L’Oriental,CDI,arab
19.0,27.0,35686.0,Femme,sans niveau,marié,Rural,Groupe 1,Voiture,Souss-Massa,CDI,amazigh
35.0,41.0,16431.0,Femme,secondaire,marié,Rural,Groupe 4,Aucun,Drâa-Tafilalet,CDD,arab
34.0,42.0,14720.0,Homme,sans niveau,marié,Urbain,Groupe 6,Terrain,Rabat-Salé-Kénitra,sans contrat,arab
47.0,24.0,21191.0,Homme,sans niveau,marié,Urbain,Groupe 4,Logement,Dakhla-Oued Ed-Dahab,sans contrat,arab
56.0,25.0,19920.0,Femme,secondaire,marié,Urbain,Groupe 5,Terrain,Béni Mellal-Khénifra,CDD,arab
30.0,26.0,17888.0,Femme,sans niveau,célibataire,Urbain,Groupe 4,Terrain,Souss-Massa,CDD,arab
49.0,25.0,13547.0,Homme,sans niveau,célibataire,Urbain,Groupe 6,Logement,Guelmim-Oued Noun,CDD,arab
67.0,20.0,19421.0,Femme,sans niveau,marié,Urbain,Groupe 4,Voiture,Laâyoune-Sakia El Hamra,CDI,arab
46.0,15.0,12863.0,Homme,secondaire,célibataire,Urbain,Groupe 6,Terrain,Marrakech-Safi,CDI,amazigh
63.0,19.0,13515.0,Femme,fondamental,célibataire,Urbain,Groupe 5,Aucun,Dakhla-Oued Ed-Dahab,sans contrat,arab
47.0,28.0,38691.0,Femme,sans niveau,célibataire,Urbain,Groupe 2,Aucun,Guelmim-Oued Noun,sans contrat,amazigh
35.0,38.0,13410.0,Femme,sans niveau,marié,Urbain,Groupe 6,Terrain,Marrakech-Safi,CDI,arab
30.0,25.0,16160.0,Femme,sans niveau,marié,Urbain,Groupe 5,Logement,Drâa-Tafilalet,CDI,arab
60.0,39.0,48423.0,Homme,sans niveau,célibataire,Urbain,Groupe 2,Aucun,Souss-Massa,CDI,arab
38.0,30.0,44925.0,Homme,secondaire,divorcé,Urbain,Groupe 2,Aucun,Béni Mellal-Khénifra,CDD,arab
47.0,40.0,39830.0,Femme,supérieur,veuf,Urbain,Groupe 3,Terrain,Fès-Meknès,sans contrat,arab
38.0,49.0,91498.0,Homme,supérieur,célibataire,Urbain,Groupe 1,Voiture,Tanger-Tétouan-Al Hoceïma,CDD,amazigh
65.0,16.0,10534.0,Homme,secondaire,veuf,Rural,Groupe 5,Terrain,Guelmim-Oued Noun,CDI,amazigh
34.0,43.0,17416.0,Femme,sans niveau,marié,Rural,Groupe 5,Logement,Casablanca-Settat,CDD,arab
57.0,25.0,21788.0,Femme,secondaire,célibataire,Urbain,Groupe 4,Aucun,Fès-Meknès,CDD,arab
36.0,42.0,26294.0,Homme,supérieur,marié,Rural,Groupe 3,Logement,Béni Mellal-Khénifra,CDD,arab
69.0,31.0,13933.0,Femme,secondaire,marié,Rural,Groupe 5,Logement,Rabat-Salé-Kénitra,CDI,amazigh
32.0,46.0,21563.0,Homme,fondamental,célibataire,Rural,Groupe 3,Terrain,L’Oriental,CDI,arab
26.0,42.0,55441.0,Femme,sans niveau,marié,Urbain,Groupe 1,Aucun,Marrakech-Safi,CDI,arab
69.0,19.0,16522.0,Homme,fondamental,marié,Urbain,Groupe 4,Aucun,Souss-Massa,sans contrat,arab
27.0,37.0,17981.0,Femme,fondamental,veuf,Urbain,Groupe 5,Logement,L’Oriental,CDD,amazigh
61.0,14.0,13059.0,Femme,fondamental,marié,Urbain,Groupe 5,Terrain,Laâyoune-Sakia El Hamra,sans contrat,arab
48.0,11.0,9556.0,Homme,secondaire,veuf,Rural,Groupe 5,Terrain,Guelmim-Oued Noun,CDI,arab
40.0,31.0,20653.0,Femme,secondaire,marié,Urbain,Groupe 5,Logement,Tanger-Tétouan-Al Hoceïma,CDD,arab
69.0,33.0,15299.0,Homme,sans niveau,marié,Urbain,Groupe 6,Voiture,Souss-Massa,CDI,arab
47.0,46.0,16197.0,Homme,sans niveau,veuf,Urbain,Groupe 6,Terrain,Béni Mellal-Khénifra,CDD,arab
50.0,23.0,25486.0,Femme,supérieur,célibataire,Urbain,Groupe 4,Terrain,Dakhla-Oued Ed-Dahab,CDD,amazigh
69.0,15.0,12686.0,Femme,fondamental,marié,Rural,Groupe 3,Voiture,Souss-Massa,CDD,arab
26.0,24.0,46428.0,Femme,sans niveau,célibataire,Urbain,Groupe 1,Terrain,Tanger-Tétouan-Al Hoceïma,sans contrat,arab
64.0,38.0,18629.0,Femme,secondaire,veuf,Rural,Groupe 4,Voiture,Fès-Meknès,CDI,arab
18.0,26.0,22457.0,Homme,sans niveau,célibataire,Rural,Groupe 2,Aucun,Béni Mellal-Khénifra,CDD,amazigh
61.0,45.0,15367.0,Homme,fondamental,marié,Rural,Groupe 5,Terrain,Casablanca-Settat,CDD,amazigh
52.0,49.0,18966.0,Femme,sans niveau,marié,Rural,Groupe 4,Terrain,Souss-Massa,sans contrat,amazigh
28.0,48.0,18585.0,Homme,secondaire,célibataire,Urbain,Groupe 6,Voiture,Guelmim-Oued Noun,sans contrat,arab
51.0,21.0,13863.0,Femme,secondaire,marié,Urbain,Groupe 6,Logement,L’Oriental,CDI,arab
33.0,12.0,13831.0,Homme,fondamental,célibataire,Urbain,Groupe 5,Voiture,Tanger-Tétouan-Al Hoceïma,CDD,arab
26.0,21.0,12853.0,Femme,supérieur,célibataire,Rural,Groupe 5,Voiture,Tanger-Tétouan-Al Hoceïma,CDI,arab
49.0,38.0,30834.0,Femme,supérieur,célibataire,Urbain,Groupe 4,Aucun,Marrakech-Safi,CDI,arab
32.0,31.0,24095.0,Homme,secondaire,marié,Urbain,Groupe 4,Logement,Tanger-Tétouan-Al Hoceïma,CDI,arab
29.0,31.0,67858.0,Femme,supérieur,célibataire,Urbain,Groupe 1,Logement,Béni Mellal-Khénifra,sans contrat,amazigh
50.0,35.0,22964.0,Homme,secondaire,marié,Urbain,Groupe 5,Terrain,Dakhla-Oued Ed-Dahab,sans contrat,arab
62.0,9.0,17851.0,Femme,fondamental,célibataire,Urbain,Groupe 3,Logement,Casablanca-Settat,CDD,arab
31.0,5.0,6919.0,Homme,fondamental,marié,Rural,Groupe 4,Logement,Laâyoune-Sakia El Hamra,CDI,arab
25.0,28.0,13093.0,Homme,sans niveau,marié,Rural,Groupe 4,Terrain,Tanger-Tétouan-Al Hoceïma,CDI,arab
25.0,39.0,16697.0,Homme,sans niveau,marié,Rural,Groupe 4,Logement,Guelmim-Oued Noun,CDI,arab
44.0,13.0,12272.0,Homme,secondaire,célibataire,Rural,Groupe 4,Voiture,Drâa-Tafilalet,CDD,arab
29.0,19.0,10234.0,Femme,sans niveau,marié,Rural,Groupe 4,Terrain,Dakhla-Oued Ed-Dahab,CDD,amazigh
18.0,38.0,38537.0,Femme,fondamental,marié,Rural,Groupe 1,Terrain,Casablanca-Settat,CDD,amazigh
60.0,40.0,25457.0,Femme,sans niveau,marié,Urbain,Groupe 4,Logement,Béni Mellal-Khénifra,sans contrat,arab
57.0,38.0,13566.0,Homme,fondamental,célibataire,Rural,Groupe 5,Aucun,Béni Mellal-Khénifra,CDI,arab
59.0,48.0,35844.0,Femme,sans niveau,marié,Urbain,Groupe 3,Terrain,Laâyoune-Sakia El Hamra,CDD,arab
68.0,44.0,25191.0,Femme,secondaire,veuf,Urbain,Groupe 4,Aucun,Guelmim-Oued Noun,CDD,arab
28.0,13.0,19152.0,Femme,supérieur,célibataire,Urbain,Groupe 4,Aucun,Drâa-Tafilalet,CDD,arab
56.0,23.0,13048.0,Femme,supérieur,marié,Rural,Groupe 5,Aucun,Fès-Meknès,CDD,arab
60.0,41.0,18823.0,Homme,fondamental,marié,Rural,Groupe 4,Voiture,Fès-Meknès,CDI,amazigh
48.0,37.0,62199.0,Femme,supérieur,célibataire,Urbain,Groupe 2,Voiture,Souss-Massa,CDD,arab
34.0,29.0,49835.0,Femme,fondamental,marié,Urbain,Groupe 1,Logement,Dakhla-Oued Ed-Dahab,CDI,arab
50.0,49.0,18032.0,Homme,fondamental,marié,Rural,Groupe 5,Voiture,Dakhla-Oued Ed-Dahab,CDD,arab
49.0,4.0,6855.0,Femme,sans niveau,marié,Rural,Groupe 4,Aucun,Drâa-Tafilalet,sans contrat,amazigh
46.0,9.0,24312.0,Homme,supérieur,divorcé,Urbain,Groupe 4,Logement,Béni Mellal-Khénifra,CDI,arab
38.0,10.0,18982.0,Femme,sans niveau,marié,Urbain,Groupe 3,Logement,Marrakech-Safi,sans contrat,arab
38.0,20.0,47424.0,Homme,fondamental,célibataire,Urbain,Groupe 1,Logement,Drâa-Tafilalet,sans contrat,arab
57.0,9.0,10020.0,Homme,secondaire,célibataire,Rural,Groupe 5,Logement,Béni Mellal-Khénifra,CDD,arab
40.0,17.0,14645.0,Femme,fondamental,célibataire,Urbain,Groupe 5,Voiture,Casablanca-Settat,CDI,arab
23.0,2.0,6954.0,Femme,sans niveau,veuf,Urbain,Groupe 6,Aucun,Tanger-Tétouan-Al Hoceïma,CDD,arab
39.0,31.0,14417.0,Femme,fondamental,veuf,Rural,Groupe 4,Voiture,Souss-Massa,CDI,amazigh
67.0,6.0,35656.0,Femme,secondaire,marié,Urbain,Groupe 2,Logement,Béni Mellal-Khénifra,CDI,arab
55.0,38.0,15481.0,Femme,sans niveau,veuf,Rural,Groupe 4,Aucun,L’Oriental,CDI,amazigh
54.0,23.0,23074.0,Femme,secondaire,célibataire,Urbain,Groupe 4,Logement,Laâyoune-Sakia El Hamra,CDD,amazigh
62.0,20.0,13073.0,Homme,secondaire,marié,Rural,Groupe 4,Terrain,Fès-Meknès,CDI,amazigh
68.0,40.0,43524.0,Homme,supérieur,marié,Rural,Groupe 2,Voiture,Béni Mellal-Khénifra,CDI,arab
25.0,26.0,12562.0,Homme,fondamental,marié,Rural,Groupe 4,Logement,Marrakech-Safi,sans contrat,arab
58.0,15.0,17416.0,Homme,sans niveau,marié,Urbain,Groupe 6,Aucun,Marrakech-Safi,CDI,arab
66.0,17.0,9346.0,Femme,fondamental,marié,Urbain,Groupe 6,Aucun,Souss-Massa,CDI,arab
52.0,34.0,42056.0,Homme,fondamental,marié,Urbain,Groupe 2,Aucun,Drâa-Tafilalet,CDD,arab
68.0,37.0,50612.0,Homme,supérieur,veuf,Rural,Groupe 1,Terrain,Guelmim-Oued Noun,sans contrat,amazigh
28.0,13.0,11129.0,Homme,supérieur,célibataire,Rural,Groupe 5,Logement,Laâyoune-Sakia El Hamra,CDD,arab
41.0,9.0,6571.0,Femme,supérieur,marié,Rural,Groupe 6,Aucun,Tanger-Tétouan-Al Hoceïma,CDI,arab
66.0,15.0,16629.0,Femme,fondamental,marié,Urbain,Groupe 4,Voiture,Béni Mellal-Khénifra,sans contrat,arab
38.0,49.0,25511.0,Femme,secondaire,marié,Rural,Groupe 3,Logement,Souss-Massa,CDI,arab
68.0,46.0,10999.0,Homme,sans niveau,célibataire,Rural,Groupe 6,Aucun,Béni Mellal-Khénifra,CDD,arab
19.0,38.0,57419.0,Femme,fondamental,marié,Urbain,Groupe 1,Voiture,Fès-Meknès,CDD,amazigh
57.0,27.0,46342.0,Homme,supérieur,marié,Rural,Groupe 1,Terrain,Rabat-Salé-Kénitra,CDD,amazigh
36.0,11.0,25548.0,Homme,secondaire,célibataire,Rural,Groupe 1,Terrain,L’Oriental,CDI,arab
56.0,24.0,33538.0,Homme,fondamental,marié,Rural,Groupe 1,Terrain,Béni Mellal-Khénifra,sans contrat,arab
45.0,1.0,5947.0,Femme,sans niveau,célibataire,Rural,Groupe 4,Aucun,Casablanca-Settat,CDI,arab
34.0,43.0,19782.0,Femme,sans niveau,marié,Rural,Groupe 3,Aucun,Béni Mellal-Khénifra,CDD,arab
23.0,40.0,9908.0,Femme,fondamental,célibataire,Rural,Groupe 6,Logement,Drâa-Tafilalet,CDI,arab
36.0,25.0,23658.0,Homme,supérieur,marié,Urbain,Groupe 5,Logement,Dakhla-Oued Ed-Dahab,CDD,arab
55.0,34.0,44781.0,Femme,sans niveau,marié,Urbain,Groupe 2,Terrain,Béni Mellal-Khénifra,CDD,amazigh
45.0,39.0,16836.0,Femme,sans niveau,veuf,Rural,Groupe 4,Logement,Drâa-Tafilalet,CDD,arab
19.0,31.0,12365.0,Femme,fondamental,célibataire,Urbain,Groupe 6,Voiture,Fès-Meknès,CDI,arab
55.0,1.0,32659.0,Homme,sans niveau,marié,Urbain,Groupe 2,Logement,Tanger-Tétouan-Al Hoceïma,sans contrat,arab
54.0,46.0,17342.0,Homme,sans niveau,célibataire,Rural,Groupe 5,Logement,Guelmim-Oued Noun,sans contrat,arab
68.0,28.0,12097.0,Homme,sans niveau,marié,Rural,Groupe 5,Terrain,L’Oriental,sans contrat,arab
69.0,21.0,10410.0,Homme,fondamental,marié,Rural,Groupe 5,Logement,Drâa-Tafilalet,CDD,arab
21.0,10.0,10528.0,Femme,fondamental,marié,Urbain,Groupe 5,Aucun,Souss-Massa,CDI,arab
39.0,34.0,18199.0,Femme,supérieur,divorcé,Rural,Groupe 4,Logement,Marrakech-Safi,sans contrat,amazigh
43.0,32.0,11761.0,Homme,fondamental,marié,Rural,Groupe 5,Aucun,Fès-Meknès,sans contrat,arab
66.0,30.0,13073.0,Femme,secondaire,marié,Rural,Groupe 5,Terrain,Fès-Meknès,CDI,arab
60.0,9.0,16838.0,Homme,sans niveau,célibataire,Urbain,Groupe 4,Aucun,Laâyoune-Sakia El Hamra,sans contrat,arab
53.0,49.0,20279.0,Femme,secondaire,marié,Rural,Groupe 4,Terrain,Béni Mellal-Khénifra,CDD,arab
30.0,2.0,31931.0,Femme,fondamental,marié,Urbain,Groupe 1,Voiture,Guelmim-Oued Noun,CDD,arab
69.0,44.0,62846.0,Femme,sans niveau,marié,Urbain,Groupe 1,Terrain,Marrakech-Safi,sans contrat,arab
49.0,38.0,23522.0,Homme,secondaire,célibataire,Rural,Groupe 3,Logement,Guelmim-Oued Noun,CDI,arab
34.0,16.0,22942.0,Femme,sans niveau,marié,Rural,Groupe 1,Aucun,Béni Mellal-Khénifra,sans contrat,arab
58.0,48.0,16980.0,Femme,fondamental,marié,Urbain,Groupe 6,Voiture,Guelmim-Oued Noun,CDD,arab
53.0,39.0,74330.0,Femme,secondaire,marié,Urbain,Groupe 1,Voiture,Dakhla-Oued Ed-Dahab,CDD,arab
63.0,1.0,9582.0,Femme,secondaire,marié,Urbain,Groupe 6,Terrain,Fès-Meknès,CDI,arab
36.0,41.0,16517.0,Homme,supérieur,célibataire,Rural,Groupe 5,Aucun,Casablanca-Settat,sans contrat,amazigh
52.0,34.0,60360.0,Homme,supérieur,marié,Urbain,Groupe 2,Terrain,Marrakech-Safi,CDI,arab
63.0,25.0,18813.0,Homme,secondaire,marié,Rural,Groupe 3,Logement,L’Oriental,CDD,amazigh
57.0,9.0,11154.0,Femme,secondaire,marié,Urbain,Groupe 6,Aucun,Dakhla-Oued Ed-Dahab,CDI,amazigh
45.0,10.0,44474.0,Femme,sans niveau,marié,Urbain,Groupe 1,Voiture,Tanger-Tétouan-Al Hoceïma,CDI,arab
18.0,48.0,56477.0,Femme,fondamental,célibataire,Urbain,Groupe 1,Aucun,Béni Mellal-Khénifra,CDI,arab
59.0,20.0,7774.0,Homme,sans niveau,marié,Rural,Groupe 6,Terrain,Guelmim-Oued Noun,sans contrat,arab
35.0,33.0,15327.0,Homme,sans niveau,célibataire,Rural,Groupe 4,Logement,Casablanca-Settat,sans contrat,amazigh
65.0,27.0,32923.0,Femme,fondamental,marié,Rural,Groupe 1,Terrain,Tanger-Tétouan-Al Hoceïma,CDI,arab
57.0,9.0,7158.0,Homme,secondaire,veuf,Rural,Groupe 6,Logement,Dakhla-Oued Ed-Dahab,CDD,amazigh
50.0,45.0,19475.0,Homme,fondamental,marié,Rural,Groupe 4,Voiture,Rabat-Salé-Kénitra,CDD,arab
29.0,13.0,8539.0,Femme,fondamental,marié,Rural,Groupe 4,Logement,Rabat-Salé-Kénitra,CDI,arab
25.0,45.0,13506.0,Homme,fondamental,marié,Urbain,Groupe 6,Aucun,Béni Mellal-Khénifra,CDD,arab
41.0,40.0,56282.0,Femme,fondamental,célibataire,Urbain,Groupe 1,Terrain,Drâa-Tafilalet,sans contrat,arab
33.0,46.0,16876.0,Homme,secondaire,marié,Urbain,Groupe 6,Terrain,Fès-Meknès,CDI,arab
67.0,29.0,17763.0,Homme,sans niveau,marié,Urbain,Groupe 5,Aucun,Laâyoune-Sakia El Hamra,sans contrat,arab
21.0,28.0,33468.0,Homme,supérieur,marié,Rural,Groupe 2,Logement,Rabat-Salé-Kénitra,sans contrat,arab
55.0,34.0,23632.0,Homme,sans niveau,marié,Urbain,Groupe 4,Terrain,Béni Mellal-Khénifra,CDI,arab
61.0,11.0,18071.0,Femme,supérieur,célibataire,Urbain,Groupe 5,Aucun,Rabat-Salé-Kénitra,sans contrat,amazigh
